id,dish
"('Graph8', 47)",5
"('Graph62', 143)",3
"('Graph37', 143)",3
"('Graph21', 108)",4
"('Graph11', 20)",4
"('Graph83', 118)",0
"('Graph2', 9)",5
"('Graph85', 60)",0
"('Graph76', 64)",1
"('Graph59', 176)",0
"('Graph25', 66)",3
"('Graph4', 19)",0
"('Graph44', 191)",4
"('Graph8', 94)",0
"('Graph36', 73)",1
"('Graph57', 102)",0
"('Graph2', 152)",2
"('Graph76', 175)",3
"('Graph67', 104)",0
"('Graph93', 66)",0
"('Graph59', 1)",3
"('Graph45', 125)",3
"('Graph89', 86)",0
"('Graph21', 56)",4
"('Graph70', 12)",4
"('Graph10', 171)",0
"('Graph83', 43)",0
"('Graph17', 47)",0
"('Graph95', 19)",0
"('Graph80', 198)",0
"('Graph16', 144)",3
"('Graph73', 51)",5
"('Graph31', 128)",0
"('Graph82', 44)",1
"('Graph57', 132)",0
"('Graph10', 58)",0
"('Graph80', 192)",0
"('Graph86', 94)",0
"('Graph67', 77)",0
"('Graph46', 172)",5
"('Graph7', 59)",3
"('Graph24', 170)",3
"('Graph73', 132)",4
"('Graph31', 49)",0
"('Graph70', 113)",0
"('Graph22', 116)",5
"('Graph95', 79)",0
"('Graph96', 153)",0
"('Graph62', 57)",3
"('Graph17', 10)",0
"('Graph15', 136)",0
"('Graph97', 11)",1
"('Graph58', 93)",5
"('Graph82', 187)",0
"('Graph31', 94)",0
"('Graph56', 71)",0
"('Graph40', 35)",4
"('Graph60', 65)",3
"('Graph66', 128)",4
"('Graph85', 12)",0
"('Graph99', 20)",1
"('Graph15', 25)",0
"('Graph6', 116)",5
"('Graph46', 78)",3
"('Graph72', 83)",5
"('Graph30', 90)",2
"('Graph55', 133)",4
"('Graph68', 116)",0
"('Graph40', 176)",4
"('Graph95', 32)",0
"('Graph66', 17)",5
"('Graph22', 148)",4
"('Graph53', 107)",3
"('Graph79', 200)",4
"('Graph97', 38)",1
"('Graph75', 141)",4
"('Graph72', 162)",3
"('Graph30', 45)",3
"('Graph29', 188)",4
"('Graph55', 54)",4
"('Graph41', 104)",3
"('Graph40', 193)",4
"('Graph23', 167)",5
"('Graph98', 107)",3
"('Graph14', 166)",3
"('Graph79', 89)",5
"('Graph47', 49)",4
"('Graph80', 144)",0
"('Graph75', 26)",5
"('Graph61', 144)",3
"('Graph30', 188)",3
"('Graph23', 65)",5
"('Graph35', 141)",4
"('Graph39', 182)",0
"('Graph53', 137)",1
"('Graph14', 53)",3
"('Graph1', 18)",0
"('Graph47', 160)",2
"('Graph61', 15)",4
"('Graph42', 177)",5
"('Graph20', 151)",5
"('Graph71', 135)",5
"('Graph19', 200)",1
"('Graph35', 34)",4
"('Graph98', 137)",1
"('Graph39', 39)",0
"('Graph19', 147)",0
"('Graph78', 162)",5
"('Graph1', 131)",0
"('Graph74', 161)",4
"('Graph80', 183)",0
"('Graph33', 77)",1
"('Graph54', 104)",0
"('Graph42', 194)",4
"('Graph27', 141)",1
"('Graph20', 56)",0
"('Graph81', 90)",3
"('Graph35', 83)",5
"('Graph52', 82)",5
"('Graph13', 68)",0
"('Graph62', 70)",3
"('Graph78', 61)",5
"('Graph48', 25)",0
"('Graph74', 48)",3
"('Graph32', 131)",0
"('Graph19', 46)",0
"('Graph42', 83)",5
"('Graph93', 31)",0
"('Graph34', 105)",0
"('Graph19', 163)",1
"('Graph51', 154)",5
"('Graph38', 100)",4
"('Graph49', 163)",1
"('Graph78', 76)",0
"('Graph48', 142)",0
"('Graph88', 153)",0
"('Graph32', 18)",0
"('Graph90', 111)",1
"('Graph23', 33)",3
"('Graph9', 186)",1
"('Graph82', 131)",0
"('Graph28', 82)",0
"('Graph34', 24)",0
"('Graph51', 43)",3
"('Graph68', 130)",0
"('Graph13', 162)",0
"('Graph49', 82)",1
"('Graph77', 73)",4
"('Graph88', 54)",0
"('Graph18', 145)",0
"('Graph43', 44)",5
"('Graph9', 43)",1
"('Graph65', 131)",4
"('Graph81', 72)",4
"('Graph34', 139)",0
"('Graph69', 70)",5
"('Graph12', 22)",0
"('Graph3', 17)",1
"('Graph84', 2)",4
"('Graph90', 170)",3
"('Graph67', 138)",0
"('Graph5', 31)",3
"('Graph43', 179)",5
"('Graph92', 63)",4
"('Graph65', 18)",4
"('Graph12', 121)",1
"('Graph3', 162)",1
"('Graph84', 147)",2
"('Graph77', 171)",3
"('Graph97', 88)",1
"('Graph23', 180)",5
"('Graph5', 140)",3
"('Graph8', 144)",0
"('Graph92', 174)",4
"('Graph37', 114)",3
"('Graph50', 11)",5
"('Graph19', 121)",0
"('Graph12', 200)",0
"('Graph85', 73)",0
"('Graph100', 171)",5
"('Graph28', 50)",0
"('Graph89', 4)",0
"('Graph59', 195)",0
"('Graph4', 76)",0
"('Graph44', 10)",4
"('Graph8', 3)",0
"('Graph36', 190)",1
"('Graph11', 48)",5
"('Graph2', 117)",5
"('Graph29', 142)",4
"('Graph76', 124)",0
"('Graph83', 8)",0
"('Graph59', 84)",0
"('Graph45', 174)",3
"('Graph4', 63)",0
"('Graph44', 155)",4
"('Graph36', 45)",5
"('Graph57', 66)",0
"('Graph100', 135)",3
"('Graph19', 92)",1
"('Graph86', 144)",1
"('Graph2', 132)",5
"('Graph62', 26)",3
"('Graph27', 114)",1
"('Graph59', 37)",5
"('Graph45', 65)",3
"('Graph73', 70)",4
"('Graph63', 79)",2
"('Graph16', 42)",3
"('Graph10', 199)",0
"('Graph29', 108)",4
"('Graph25', 111)",3
"('Graph24', 197)",3
"('Graph27', 150)",4
"('Graph31', 156)",0
"('Graph10', 86)",4
"('Graph70', 60)",0
"('Graph86', 114)",0
"('Graph16', 76)",3
"('Graph46', 136)",5
"('Graph7', 95)",3
"('Graph24', 86)",3
"('Graph73', 168)",5
"('Graph31', 13)",0
"('Graph56', 56)",1
"('Graph68', 7)",0
"('Graph22', 88)",5
"('Graph96', 133)",0
"('Graph15', 172)",0
"('Graph22', 41)",5
"('Graph58', 65)",5
"('Graph46', 57)",5
"('Graph24', 39)",3
"('Graph26', 129)",3
"('Graph91', 56)",2
"('Graph24', 151)",5
"('Graph56', 171)",1
"('Graph40', 7)",4
"('Graph64', 45)",1
"('Graph87', 13)",5
"('Graph99', 112)",1
"('Graph15', 61)",0
"('Graph27', 185)",5
"('Graph6', 8)",5
"('Graph25', 153)",3
"('Graph72', 119)",5
"('Graph30', 126)",2
"('Graph55', 97)",4
"('Graph41', 197)",4
"('Graph16', 112)",3
"('Graph40', 148)",3
"('Graph68', 42)",0
"('Graph66', 117)",5
"('Graph53', 79)",1
"('Graph79', 172)",4
"('Graph47', 110)",4
"('Graph91', 12)",3
"('Graph75', 169)",4
"('Graph72', 198)",5
"('Graph60', 164)",3
"('Graph55', 18)",4
"('Graph41', 84)",4
"('Graph94', 140)",0
"('Graph64', 8)",1
"('Graph98', 71)",1
"('Graph79', 61)",4
"('Graph47', 29)",4
"('Graph90', 83)",5
"('Graph75', 6)",4
"('Graph61', 124)",4
"('Graph30', 160)",3
"('Graph94', 19)",0
"('Graph35', 145)",3
"('Graph71', 160)",5
"('Graph11', 51)",5
"('Graph70', 184)",1
"('Graph14', 89)",4
"('Graph1', 46)",0
"('Graph47', 140)",2
"('Graph33', 24)",1
"('Graph54', 197)",0
"('Graph42', 149)",4
"('Graph21', 7)",4
"('Graph20', 107)",0
"('Graph81', 143)",3
"('Graph94', 98)",0
"('Graph35', 6)",4
"('Graph64', 83)",2
"('Graph52', 47)",5
"('Graph39', 67)",0
"('Graph78', 142)",0
"('Graph1', 159)",0
"('Graph74', 197)",4
"('Graph33', 105)",1
"('Graph54', 116)",0
"('Graph42', 38)",4
"('Graph20', 28)",0
"('Graph81', 126)",4
"('Graph68', 144)",0
"('Graph12', 75)",0
"('Graph52', 190)",5
"('Graph13', 96)",0
"('Graph78', 25)",0
"('Graph48', 125)",0
"('Graph74', 84)",4
"('Graph32', 175)",0
"('Graph18', 174)",0
